App Job Id,Server,Client,Status,Status Code,Backup Level,Backup Size (GB),Total Files,Files Not Backed Up,Started,Finished,Duration (Minutes),Expires,Total Jobs,Reduction Ratio,Deduplication Ratio,Successful Copies,Failed Copies
JOB2016,HYD-SERVER-02,VM-APP-01,Failed,500,Incremental,61.29,98063,120,2026-07-10 00:43,2026-07-10 01:32,49,2026-08-09,1,2.43,1.41,0,1
JOB2017,HYD-SERVER-02,VM-APP-01,Success,0,Full,62.73,100373,2,2026-07-11 03:00,2026-07-11 03:31,31,2026-08-10,1,2.01,1.13,1,0
JOB2018,HYD-SERVER-02,VM-APP-01,Success,0,Full,64.43,103091,0,2026-07-12 01:23,2026-07-12 01:48,25,2026-08-11,1,2.16,1.59,1,0
JOB2019,HYD-SERVER-02,VM-APP-01,Success,0,Full,61.8,98885,0,2026-07-13 01:03,2026-07-13 01:33,30,2026-08-12,1,1.34,1.58,1,0
JOB2020,HYD-SERVER-02,VM-APP-01,Success,0,Full,61.58,98535,5,2026-07-14 01:42,2026-07-14 02:27,45,2026-08-13,1,1.62,2.05,1,0
JOB2021,HYD-SERVER-02,VM-APP-01,Success,0,Incremental,63.4,101435,0,2026-07-15 02:25,2026-07-15 03:22,57,2026-08-14,1,1.9,1.62,1,0
JOB2022,HYD-SERVER-02,VM-FILE-01,Success,0,Full,59.31,94890,0,2026-07-09 02:01,2026-07-09 02:53,52,2026-08-08,1,2.14,1.01,1,0
JOB2023,HYD-SERVER-02,VM-FILE-01,Failed,500,Full,61.66,98658,120,2026-07-10 00:14,2026-07-10 00:33,19,2026-08-09,1,2.58,1.09,0,1
JOB2024,HYD-SERVER-02,VM-FILE-01,Running,102,Full,59.26,94809,0,2026-07-11 01:34,,,2026-08-10,1,2.36,2.06,0,0
JOB2025,HYD-SERVER-02,VM-FILE-01,Success,0,Full,60.99,97580,2,2026-07-12 03:51,2026-07-12 04:32,41,2026-08-11,1,1.35,1.79,1,0
JOB2026,HYD-SERVER-02,VM-FILE-01,Running,102,Full,59.85,95762,2,2026-07-13 03:55,,,2026-08-12,1,2.28,2.18,0,0
JOB2027,HYD-SERVER-02,VM-FILE-01,Running,102,Full,58.54,93666,0,2026-07-14 02:51,,,2026-08-13,1,1.6,1.23,0,0
JOB2028,HYD-SERVER-02,VM-FILE-01,Running,102,Incremental,60.33,96535,0,2026-07-15 01:17,,,2026-08-14,1,1.6,2.11,0,0
JOB2029,HYD-SERVER-03,VM-ERP-01,Success,0,Full,87.24,139590,0,2026-07-09 04:53,2026-07-09 05:08,15,2026-08-08,1,2.68,2.02,1,0
JOB2030,HYD-SERVER-03,VM-ERP-01,Running,102,Incremental,85.28,136444,2,2026-07-10 03:13,,,2026-08-09,1,2.64,1.2,0,0
JOB2031,HYD-SERVER-03,VM-ERP-01,Success,0,Incremental,84.44,135099,2,2026-07-11 03:18,2026-07-11 04:00,42,2026-08-10,1,1.45,1.36,1,0
JOB2032,HYD-SERVER-03,VM-ERP-01,Success,0,Incremental,84.73,135561,5,2026-07-12 02:03,2026-07-12 02:21,18,2026-08-11,1,2.0,2.02,1,0
JOB2033,HYD-SERVER-03,VM-ERP-01,Success,0,Full,85.23,136371,0,2026-07-13 01:04,2026-07-13 01:57,53,2026-08-12,1,2.28,1.28,1,0
JOB2034,HYD-SERVER-03,VM-ERP-01,Success,0,Full,85.04,136064,5,2026-07-14 04:38,2026-07-14 04:55,17,2026-08-13,1,1.87,1.7,1,0
JOB2035,HYD-SERVER-03,VM-ERP-01,Success,0,Incremental,87.1,139364,0,2026-07-15 01:42,2026-07-15 02:42,60,2026-08-14,1,1.58,1.47,1,0
JOB2036,HYD-SERVER-04,VM-HR-01,Running,102,Full,106.45,170326,0,2026-07-09 02:59,,,2026-08-08,1,1.21,1.75,0,0
JOB2037,HYD-SERVER-04,VM-HR-01,Success,0,Incremental,106.03,169651,0,2026-07-10 04:13,2026-07-10 05:00,47,2026-08-09,1,1.41,1.42,1,0
JOB2038,HYD-SERVER-04,VM-HR-01,Success,0,Incremental,103.5,165602,0,2026-07-11 02:10,2026-07-11 02:53,43,2026-08-10,1,2.18,2.18,1,0
JOB2039,HYD-SERVER-04,VM-HR-01,Success,0,Full,106.5,170396,5,2026-07-12 04:19,2026-07-12 05:16,57,2026-08-11,1,2.7,1.16,1,0
JOB2040,HYD-SERVER-04,VM-HR-01,Success,0,Full,103.74,165984,0,2026-07-13 02:18,2026-07-13 03:11,53,2026-08-12,1,2.35,1.24,1,0
JOB2041,HYD-SERVER-04,VM-HR-01,Running,102,Full,106.4,170234,0,2026-07-14 02:57,,,2026-08-13,1,1.35,1.51,0,0
JOB2042,HYD-SERVER-04,VM-HR-01,Success,0,Incremental,104.57,167305,0,2026-07-15 02:49,2026-07-15 03:12,23,2026-08-14,1,1.46,1.53,1,0
